[lemma = "čohkat"]
Boađus: 153							
	#North Saami administrative corpus –
Juo ovdal Ruoŧa alimusrievtti duomu lei Davviriikkalaš sámi instituhta mielbargi , mag. art. Alf Isak Keskitalo 	čohkan 	gažaldaga ná Romssa dávvirvuorká logaldallamis 1979 čavčča : #? #CORR (sette på spissen)
	Čohkket 	dieđuid dan birra mii váikkuha olbmuid válljema ássanbáikki dáfus . #Sem/Prod-cogn?? #ERR-DIS
Bergen Allaskuvla , 	čohkket 	seamma sadjái 325 miljovnna ruvnno Sogn ja Fjordane Allaskuvla , guovddášvisti Sogndal 100 miljovnna ruvnno Ráđđehushuksehatguovlu , R6 354 miljovnna ruvnno . #Sem/Money #ERR-DIS
Bergen Allaskuvla , 	čohkket 	seamma sadjái 325 miljovnna ruvnno #Sem/Money #ERR-DIS
	čohkket 	dieđuid lagasbirrasis diiddaid ja sátnevádjasiid birra ja movt daid geavahit beaivválaš eallimis #Sem/Prod-cogn #ERR-DIS
	Čohkket 	Sámedikki áššiid meannudeami ovtta vahkkui #ERR-DIS
Evttohus 2 : 	Čohkket 	Sámedikki áššiid meannudeami ovtta vahkkui #ERR-DIS
	čohkket 	dieđuid ja digaštallat skuvlla dárbbu birra oahpaheaddjigelbbolašvuhtii ja makkár oahpaheaddjioahpu mii dárbbašit . #Sem/Prod-cogn #ERR-DIS
Pilohtaprošeakta galgá árvvoštallojuvvot go leat 	čohkkon 	dan meare dieđut ahte lea vuođđu árvvoštallagoahtit . #ERR-GRAM (čohkket)
Pilohtaprošeakta galgá árvvoštallojuvvot go leat 	čohkkon 	dan meare dieđut ahte lea vuođđu árvvoštallagoahtit . #ERR-GRAM (čohkket)
Duojáriid jahkásaš raporterenskovis galgá maid almmuhit lea go sus alddis 	čohkkon 	máhttu dahje formálalaš gelbbolašvuohta . #ERR-GRAM (čohkket)
Ieš latnja lea vuolil jorbbas ja bajil 	čohkat 	, ja lea čiekŋalit nájastuvvon . #ERR-GRAM (čohkái)
Eai dušše ollgooaidnit ráhkadettiin , muhto maiddai čácis ii galgan 	čohkamis 	oaidnit goal lea ealli loddi ja goal lea čohkanloddi , dahje hápma nu go muhtimat dadjet . #0 #ERR-DIS (čohkan = čohkanloddi) (lásihit čohkan - lokkefugl?? dahje čohkkámis)
Leŋget hearggi ii leat nu álki go 	čohkkohallat 	heargereagas ja vuodjit . #Sem/Veh (ADVL) #ERR-GRAM (čohkohallat)
Guttormsen lea leamaš politihkalaš aktiiva nuorravuođa rájes , ja 	čohkán 	ovcci jagi Guovdageainnu suohkanstivrras . #Sem/Org (ADVL) #ERR-GRAM (čohkkát)
Skuterluodda botnjasaddá várrevieltti vulos ja de vuhtto skuter fas goarbmugoahtán 	čohká 	guvlui . #guvlui #ERR-GRAM (čohka)
- Na , jávkket dál olggos , ále ge 	čohká 	Jeaggegeažis ja huma nu guhká , logai son . #Sem/Plc (ADVL) #ERR-GRAM (čohkkát)
	Čohkket 	omman lusa ! #Sem/Furn ##ERR-DIS (čohkedit)
Geliidna gii maid lei gullán 	čohkkái 	seaŋggas ja ruossastahtii . #Sem/Furn ##ERR-DIS (čohkkát)
	Čohkket 	fas . #Sem/Furn ##ERR-DIS (čohkedit)
	#Avvir corpus –
Lihkosmuvvan lihkolaš Inga Marja Steinfjell on 11 October , 2008 06:01:00 – Vuosttaš jagi go álggahii iežas fitnodaga 	čohkkái 	bajis ijatbeaivvi , illá mun oidnen su , dadjá Áslat Simma , gii lea sivalaš dasa go Erica guhte lea bajásšaddan beahcevuovddis Duortnosleagis , lahka Suoma ráji , bisánii Áđevuopmái . #bajis (ADVL) #ERR-DIS 
– Lea buorre dovdu , muhtomin miella dadjat Yess , mun nagodin , birgejin , moddjá son duđavaččat go 	čohkkohalle 	su bargobájis . #Sem/Plc (ADVL) #ERR-GRAM
DNA-ávdnasiid 	čohket 	SNO lea čohkkemin DNA-ávdnasiid , vuoi lea vejolaš gávdnat gos gumpe lea boahttán . #Sem/? #ERR-GRAM (čohkket)
	Čohkket 	– Gieldda jurdda lea ahte Sámi nuoraidráđđi galgá čohkket buot sámi servviid Romssas ovtta beavddi birra , dadjá gieldda ja Gáisi giellaguovddáža bargi , Ronald Urheim . #Sem/Plc (ADVL) #ERR-DIS
Dat muhtin guhte 	čohká 	buvddas , lea son gii jođiha buvdda , su namma lea Steinar Eilertsen . #Sem/Build (ADVL) #ERR-GRAM (čohkkát)
